We are confusing regulation with policy. ||| Anyị na-ewehie ndozi dịka iwu
The prelate noted that Gov. Obiano used the state’s security apparatus to track down, the kidnapped priests. ||| Onye kwuru okwu kwuru na Gov. Obiano weere akụrụngwa nchekwa mee nnyocha ndị Ụkọchukwu atọọrọ
``Children are our future. Anambra State should invest in school sports. I appeal to government to construct Attah road, linking Nkpor-Umuoji road across St. Edmund to Nkpor Old road,’’ Akuluono said. ||| Ụmụaka bụ ọdịniihu anyị, steeti Anambra ga-etinye aka n'egwuregwu ụlọakwụkwọ. Ana m arịọ gọọmentị ka ha rụọ okporoụzọ Attah, nke jikọrọ Nkpọọ-Umuoji nke gara site na St. Edmund rue Ụzọ ochie Nkpọọ, ka Akuluono kwuru
The bishop decried incessant and barbaric killings of innocent Nigerian’s especially Christians. ||| Bishop kwugidere ajọ ogbugbu nke ụmụ Naịjirịa aka ha dị ọcha tụmadị ndị nke Kraịst
Ezeokafor made the commendation at Ukpo, Dunukofia Local Government Area on Feb. 6, during burial of mother of Bishop of Mrs Rebecca Amatu. ||| Ezeokafor mere nkwupụta ahụ n'Ukpo, okpuru ọchịchị nke Dunukofia n'abalị isii nke ọnwa Febụwarị n'oge elimozu nke nne Bishop bụ Odoziakụ Rebecca Amatu.
``Academic excellence, moral probity and physical fitness are our watchwords. Here, we preach against cultism and our security men are always on alert. Anyone caught over cultism will face the law. ||| Ebube agụmaakwụkwọ, mwuli akọnauche na ahụike nke anụ ahụ bụ ihe anyị na- elegara anya. Ebea, anyị na-ekwugide otu nzuzo ma ndị nche anyị nọ n'ọrụ oge niile. Onye ọbụla ejidere n'otu nzuzo ga-ata ahụhụ nke iwu kwadoro.
He thanked Gov. Willie Obiano for his giant strides in the area of security, urging him to sustain the tempo. ||| O kelere Gov. Willie Obiano maka ịgba mbọ ya n'ihe banyere nchekwa, rịọkwaa ya ka o jide ka o ji
In a welcome address, School Manager, Rev. Fr. Michael Adawai said they applied holistic approach to children’s educational development, noting that they had zero tolerance for cultism. ||| N'ozi nnabata, Onye Nlekọta Ụlọakwụkwọ, Rev. Fr. Michael Adawai kwuru na ha na-eso ụzọ dị mma n'iwuli agụmaakwụkwọ ụmụaka, ma kwukwaa na ha anaghị anabata ihe ọbụla gbasara otu nzuzo.
Ezeokafor, however, also expressed shock at gruesome murder of Lawan Andimi, Chairman, Christian Association of Nigeria, Michika LGA Adamawa State by terrorists. ||| Ezeokafor, etu ọ dị, kwupụtara oke mwute maka ogbugbu Lawan Andimi, Onyeisi, Otu Nzukọ Kraịst nke Naịjirịa 'Christian Association of Nigeria' okpuru ọchịchị Michika nke steeti Adamawa site n'aka ndị omekome.
He said any government that did not value the sacredness of life was a failure. ||| O kwuru na gọọmentị ọbụla nke enweghị ezigbo mmasị n'ihe gbasara nsọ nke ndụ, adaala.
He stressed that government at the centre should provide the enabling environment for security of life and property. ||| o kwusiri ike na gọọmentị nke etiti ga-eweta gburugburu dị mma maka ichekwa ndụ na akụnaụba
According to him, Government at the centre must encourage local policing to secure lives of the people, who elected them into office. ||| N'okwu ya, gọọmentị nke etiti kwesiri ịgba ndị omebe iwu ime obodo ume iji chekwa ndụ ndị mmadụ, ndị tinyere ha n'ọchịchị
``Any government that cannot do the needful to secure life and property of its citizens should surrender; use whatever God endowed you with to work toward eternal life. ||| Gọọmentị ọbụla nke agaghị eme ihe kwesiri iji chekwa ndụ ndị ọ na-achị na akụnaụba kwesiri ichili aka elu, were ihe ọbụla Chukwu nyere gị rụọ ọrụ nke ndụ ebighi ebi
``Academic excellence, moral probity and physical fitness are our watchwords. Here, we preach against cultism and our security men are always on alert. Anyone caught over cultism will face the law. ||| Ebube agụmaakwụkwọ, mwuli akọnauche na ahụike nke anụ ahụ bụ ihe anyị na- elegara anya. Ebea, anyị na-ekwugide otu nzuzo ma ndị nche anyị nọ n'ọrụ oge niile. Onye ọbụla ejidere n'otu nzuzo ga-ata ahụhụ nke iwu kwadoro.
BISHOP AMATU BURIES 96-YEAR-OLD MUM By Regina Igwebuike ||| BISHOP AMATU eliela nne ya dị afọ iri iteghete na isii; site n'aka Regina Igwebuike 
In a welcome address, School Manager, Rev. Fr. Michael Adawai said they applied holistic approach to children’s educational development, noting that they had zero tolerance for cultism. ||| N'ozi nnabata, Onye Nlekọta Ụlọakwụkwọ, Rev. Fr. Michael Adawai kwuru na ha na-eso ụzọ dị mma n'iwuli agụmaakwụkwọ ụmụaka, ma kwukwaa na ha anaghị anabata ihe ọbụla gbasara otu nzuzo.
She thanked management of St. Edmund Group of schools for going extra the mile to borrow St. Alphonsus Catholic Church, Nkpor sporting ground to accommodate all sporting events. ||| Ọ kelere ndị nlekọta Igwe Ụlọakwụkwọ nke St. Edmund maka isetipụ aka rue ịnara ndị Ụka Katọlik St. Alphonsus, nke Nkpọọ ama egwuregwu iji nabata ihe egwuregwu niile.
Lady Lizzy Ewuzie, Area Education Officer (AEO), Idemili North represented the commissioner at the event. ||| Lady Lizzy Ewuzie, Onyeisi Agụmakwụkwọ Ebe 'Area Education Officer (AEO), nke Ugwu Idemili nọchiri anya kọmishọna n'emume ahụ
According to the commissioner said sports help in mental, physical and psychological development of learners, stressing that properly engaging youths in sports will make them lose interest in social vices. ||| Site n'okwu kọmishọna kwuru na egwurgwu na-enye aka n'ọgụgụ isi, ahụ ike na iwulie akọnauche nke ndị na-amụ akwụkwọ, ma kwuo na itinye ụmụ ntorobịa n'egwuregwu oge niile ga-eme ka ha wepụ uche n'aghara dị iche iche.
7, 2020 (MOI) Catholic Bishop of Okigwe Diocese, Imo State, Most Rev. Solomon Amatu accompanied by family and friends, bid farewell to his late mother, Mrs Rebecca Mgboye Amatu aged 96. ||| 7, 2020 (MOI), Bishop nke Dayosis Ụka Katọlik nke Okigwe, steeti Imo, Most Rev. Solomon Amatu nke ezinaụlọ ya sonyeere, sịrị nne ha nwụrụ anwụ jee nke ọma, Odoziakụ Rebecca Mgbonye Amatu nke dị afọ iri iteghete na isii.
Prof. Omenugha made the call during Inter-house sports competition organised by St. Edmund Group of Schools, Nkpor. ||| Ọkammụta Omenugha kpọrọ oku ahụ n'oge asọmụmpi nke ụlọ na ụlọ nke Igwe Ụlọakwụkwọ nke St. Edmund, Nkpọọ chịkọbara
The deceased was born on Feb. 14, 1923 into family of late Pa/Mrs Anakonwa of Oranto Village, married to late Pius Amatu of Obinagu Akpu Village, both in Ukpo. ||| onye ahụ nke nwụrụ bụ nke a mụrụ n'ụbọchị nke iri na anọ n'ọnwa Febụwarị n'afọ 1923 n'ezinaụlọ nke Pa/Odoziakụ Anakonwa laworo mmụọ nke ime obodo Oranto, ma lụọ Pius Amatu laworo mmụọ nke ime obodo Obinagu Akpu, ha abụọ dị n'Ukpo.
SCHOOLS URGED TO PROMOTE SPORTS, CURB CULTISM AS ST EDMUND SCHOOLS NKPOR HOLD INTER-HOUSE SPORTS ||| A gwala ụmụ akwụkwọ ka ha wulie egwuregwu, ma belata otu nzuzo dịka Ụlọakwụkwọ nke St. Edmund, Nkpọọ na-emerube emume nke asọmụmpi ụlọ na ụlọ.
Speaking while concelebrating the burial Mass at St. Simon Catholic Church, Ukpo, Most Rev. Paulinus Ezeokafor, Catholic Bishop of Awka Diocese said that burying the dead was one of the ``corporal works of mercy’’. ||| ka ọ na-ekwu okwu n'ụbọchị elimozu n'Ụlọ ụka Katọlik nke St. Simon, dị n'Ukpo, Most Rev. Paulinus Ezeokafor, Bishop nke Katọlik Dayosis Ọka kwuru na ili onye nwụrụ anwụ bụ otu n'ime nnukwu ọrụ ebere
Nkpor (Idemili North LGA), Feb. 25, 2020 (MOI) Anambra State Commissioner for Basic Education, Prof. Kate Omenugha has urged private and public schools to promote sports as panacea against cultism and other vices among youths. ||| Nkpọọ (okpuru ọchịchị nke Ugwu Idemili), abalị iri abụọ na ise n'ọnwa Febụwarị n'afọ 2020 (MOI) Kọmịshọna nke Agụmaakwụkwọ Nta nke Steeti Anambra, Ọkammụta Kate Omenugha agwala ụlọ akwụkwọ nke gọọmentị na nke mmadụ nwe ka ha wulite egwuregwu iji belata otu nzuzo na nsogbu ọzọ dị n'etiti ụmụ ntorobịa
Mr Emmanuel Nwafor, member representing Orumba South Constituency suggested proper checking of the seals of the consultants in other to ascertain their level of authenticity because fake seals abound. ||| Maazị Emmanuel Nwafor, onye nnọchite anya Ndịda Saụtụ nyere ndụmọdụ maka ezigbo nnyocha akara njirimara ndị ọkachamara iji belata akara njirimara adịgboroja
Ezeokafor added that the deceased lived her life in the hope of resurrection, which was a fulfillment of what we believe in as Christians. ||| Ezeokafor tinyere na onye ahụ nwụrụ biri ndụ ya site n'okwukwe mbili n'ọnwụ, nke bụ mmezu ihe anyị kwenyere dịka ndị otu Kraịstị
He emphasised that death was an answered prayer as one transcended from temporal life to eternity to live at peace with God. ||| O kwusiri ike na ọnwụ bụ ekpere a azara aza nke na-ebufe mmadụ site na ndụ na-agabiga agabiga rue na ndụ ebighi ebi ka ya  na Chukwu biri n'udo 
The prelate noted that Mrs Amatu was energetic, beautiful as well as a good singer with a golden voice. ||| onye kwuru okwu sịrị na Odoziakụ Amatu bụ onye dị ike, maa mma ma bụrụkwa ezigbo onye ukwe nke nwere olu ọma
``She was a notable lead singer in all ceremonies and activities in her town and beyond, which merited her name `Onu Ogene’. ||| Ọ bụ ọgụ egwu amaara nke ọma n'emume dị iche iche n'obodo ya ma karịa, nke nyere ya aha 'Onu Ogene'
He explains: ``life is a gift from God, which must be respected’’, urging those who fail to take care of their parents at old age to retrace their steps so as to reap God’s promise of long life’’. ||| Ọ kọwara, 'ndụ bụ onyinye si n'aka Chukwu, nke aga asọpụrụ, gwakwa ndị anaghị ana eleru nne na nna ha anya n'oge agadi ka ha chegharịa iji rite ogologo ndụ dịka nkwa Chukwu siri dị
One of the deceased sons, Most Rev. ||| Otu n'ime nwa nwoke nke onye nwụrụ, Most Rev.
Solomon Amatu said that his mother was non believer and became a Christian convert in 1962 to Christ Apostolic Church (CAC) as a result of miraculous healing of her husband when he was down, bedridden after attending a crusade. ||| Solomon Amatu kwuru na nne ya bụ onye ekweghị ekwe ma mechaa bụrụ onye nke Kraịstị n'afọ 1962 nye ezinaụlọ Christ Apostolic Church (CAC) nke ọgwụgwọ nsọ nke ebilighị n'akwa di ya butere, ka emechara ọgbakọ ozi ọma
Bishop Amatu noted that she was an ardent and devout member of CAC until 2003, when she became a Catholic faith after his Episcopal Ordination. ||| Bishop Amatu kwuru na ọ bụ ezigbo onye otu nke CAC rue n'afọ 2003, oge ọ bụrụla onye okwukwe Katọlik mgbe e chisiri ya echiche ụka
According to him, she embraced the conversion and convincingly remained ardent and devoted to it until her last breath, praying God for a repose of her soul. ||| N'okwu ya, ọ nabara mgbanwe ahụ ma kwesie ike na nọgide na ya rue ụbọchị ọ nwụrụ, ma rịọkwaa Chukwu ka ọ nara mkpụrụ obi ya
Anambra State Governor, Willie Obiano, who attended the event, commiserated with Amatu family, praying God to grant them the fortitude to bear the irreparable loss. ||| Gọvanọ steeti Anambra, Willie Obiano onye gara emume ahụ, kasịrị ezinaụlọ Amatu obi, rịọ Chukwu ka o nye ha amara idi onye nwụrụ
Gov. ||| Gov.
Obiano thanked those, who came to pray for the deceased’s soul, especially those who came from far places, praying God to grant them journey mercies. ||| Obiano kelere ndị bịara kpeere ezinaụlọ na-eru ụjụ ekpere, karịsịa ndị si ebe dị anya wee bịa, rịọ ka Chukwu nye ha amara ije
He noted that the state was enjoying security to the glory of God. ||| O kwuru na steeti ndị na- enwerị aṅụrị ezigbo nchekwa
Delivering a tribute at the grave side, Dr Solomon Anigbankpu, on behalf of the deceased’s grand/great grandchildren said that grandma knew precisely what good education could do to anyone, who persisted to the end. ||| mgbe ọ na-agụpụta ozi ugwu n'akụkụ ili, Dr. Solomon Anigbankpu, n'aha ụmụ ụmụ/ụmụ ụmụ nke abụọ nke onye nwụrụ , kwuru na mama nnukwu maara ihe ezigbo agụmaakwụkwọ ga-eme n'ime ndụ mmadụ, onye kwudosiri ike rue na njedebe.
``She believes that it is better to develop common sense first before western education to avoid behaving and acting like a child. ||| o kwenyere na ọ ka mma inwe ezigbo ọgụgụ isi tutu ije akwụkwọ nke bekee iwezụga ime omume dịka nwata.
``She lived a life of prayer, selfless service, high sense of responsibility and charity, humility, hard work, tenacity and doggedness. ||| o biri ndụ ekpere, ozi onye achọghị naanị ọdị mma ya, na ọrụ ebere, mweda n'ala, ịrụsi ọrụ ike, ịkwudosike na ịke ọrụ. 
``Her prayer life is infectious and you can never stay with her without being infected,’’ he emphasised. ||| ndụ ekpere ya na-efe efe nke mere na ị gaghị anọ ya nso hapụ inwe ndụ ekpere ahụ, ka o kwusiri ike
Dignitaries at the ceremony include Archbishop Valerian Okeke of Onitsha Archdiocese, Owerri Provincial Bishops, a former Governor of Anambra State, Mr Peter Obi. ||| Ndị nnukwu mmadụ bịara mmemme ahụ gunyere Archbishop Valerian Okeke nke Archdiocese Onitsha , Ndị Bishop nke Province Owerri, na aka chụburu steeti Anambra bụ Maazị Peter Obi 
A former INEC Chairman, Prof Maurice Iwu, Anambra Commissioner for Women Affairs, Mrs Ndidi Mezue, Traditional Rulers and people from all walks of life attended too. ||| Onye bụrụla onyeisi INEC, Ọkammụta Maurice Iwu, Kọmishọna nke ihe banyere ụmụ nwaanyị n'Anambra, Odoziakụ Ndidi Mezue, Ndị Eze ọdịnaala na ndị mmadụ nọ na mpaghara ndụ dị iche iche.
GOVERNMENT DONATES LAND FOR PERMANENT SITE OF AWKA DIVISION OF COURT OF APPEAL By John Ndu ||| GỌỌMENTỊ ENYELA ALA NDỊGIDE NYE NGALABA ỤLỌIKPE MKPESA NKE DỊ N'ỌKA site n'aka John Ndu 
Okwuosa explained that most buildings within the old Awka were built several years ago, hence the disorderly nature of most villages. ||| Okwuosa kọwara na imirikiti ụlọ dị n'Ọka ochie bụ ndị arụrụ ọtụtụ afọ gara aga, ugbua, mere enweghị nhazi nke imirikiti ime obodo
6, 2020 (MOI) Anambra State Government has donated a parcel of land on which a permanent site on which the Federal Judiciary can build the Awka Division of Court of Appeal. ||| 6, 2020 (MOI) Gọọmentị Steeti Anambra enyeela iberibe ala ndịgide ebe Ụlọikpe Etiti ga-arụ Ngalaba Ụlọikpe Mkpesa nke Ọka. 
Gov. Willie Obiano announced this while receiving Judges and staff members of the judiciary, led by President of Court of Appeal, Justice Zainab Bulkachuwa at the Governor''s Lodge, Amawbia.' ||| Gọv. Willie Obiano mara ọkwa a mgbe ọ na-anabata ndị Ọkaikpe na ndị ọrụ ụlọikpe, nke Onyeisi Ụlọikpe Mkpesa Ọka bụ Justice Zainab Bulkachuwa bụ onye ndu ha bịara n'ụlọ obibi nke gọvanọ n'Amọọbịa
This will entail serious demolition. ||| Nkea ga-egosi mbibi dị ukwu 
Receiving the delegation, Gov. Obiano said his administration would always provide necessary facilities that would enhance prompt dispensation of justice. ||| ịnabata ndị nnọchite, Gov. Obiano kwuru na ọchịchị ya ga-eweta akụrụngwa niile kwesiri iji hụ na enwere ikpe ziri ezi.
Compensation will be paid by the state government in order to get Awka to become a standard city. ||| Aga- enye ego iti aka n'obi site n'aka steeti gọọmentị iji me ka Ọka dịka obodo zuru oke. 
The governor said that arrangements had been finalised for procurement of stenograph for judges to facilitate justice delivery. ||| Gọvanọ kwuru na emechaala nhazi maka inweta odee nye ndị Ọkaikpe maka inwe ikpe ziri ezi.
He announced that it would made available to 25 courts in the first batch. ||| Ọ mara ọkwa na aga ewepụta ya nye ụlọikpe iri abụọ na ise n'agba nke mbụ
In addition to procurement of stenograph, Gov. Obiano said that his administration would train, retrain judges and other judicial staff to enable them to get acquainted with modern system of justice delivery. ||| Na mgbakwụnye inweta odee, Gov. Obiano kwuru na ọchịchị ya ga-enye ọzụzụ, zụgharịa ndị ọkaikpe na ndị ọrụ ụlọikpe ndị ọzọ iji me ka ha nwee mmụta n'inye ikpe ziri ezi n'ụzọ ọgbara ọhụrụ
However, this will not hinder the demolition of any building that poses threat to the community. ||| Etu ọ dị, nkea agaghị egbochi ibibi ụlọ anyị ọbụla ga-ebute ihe mberede n'obodo.'
My administration has been taking care of Judges. ||| ọchịchị m na-eletarị ndị Ọkaikpe anya
Their welfare is my utmost concern. ||| ọdịmma ha bụ nke na-echu m ụra
I cleared the accumulated debt owed judges by previous administrations. ||| akwụchapụrụ m ụgwọ niile nke ọchịchị gara aga ji ndị Ọkaikpe
``Indeed it is a milestone achievement for my administration under the leadership of Court of Appeal President, Justice Zainab Bulkachuwa. ||| n'ezie, ọ bụrụla ihe mmepụta nye ọchịchị m n'okpuru ọchịchị nke onyeisi Ụlọikpe Mkpesa, Justice Zainab Bulkachuwa
I sincerely appreciate your support,’’ Obiano said. ||| Etoro m nkwado gị , 'ka Obianọ kwuru'
The governor stressed that his administration had maintained robust relationship among the three arms of government, promising to ensure no interference and adequate separation of duties. ||| gọvanọ kwusiri ike na ọchịchị ya  enweela mmekọrịta siri ike n'etiti aka atọ nke gọọmentị, ma kwe nkwa ịgba mbọ hụ agbatauhie ọbụla abataghị nakwa inwe ike ọrụ etu o kwesiri
President, Court of Appeal, Justice Bulkachuwa, said that process for the inaugurating of Court of appeal in the state started in 2018, when Gov. ||| Onyeisi, Ụlọikpe nke Mkpesa, Justice Bulkachuwa, kwuru na usoro nke iguzobe ụlọikpe mkpesa na steeti a malitere n'afọ 2018, mgbe Gọvanọ
Obiano set up a five-man Court of Appeal Project Committee headed by Dr Onyechi Ikpeazu, SAN. ||| Obiano guzobere kọmitii mmadụ ise maka ọrụ Ụlọikpe Mkpesa nke Dr. Onyechi Ikpeazụ, SAN bụ onyeisi ya.
She urged the governor to ensure speedy upgrade of the structures, to be in line with stipulated standards of Court of Appeal across the nation. ||| o gwara gọvanọ ka ọ gba mbọ hụ na ewuliri ụlọ ewumewu ahụ ọsọọsọ, ka ọ wee dị ka Ụlọikpe Mkpesa ndị ọzọ dị n'ala anyị.
Anambra Attorney-General and Commissioner for Justice, Dr Uju Nwogu commended the president for her support at ensuring the success of the event. ||| Onyeisi Ikpe nke Anambra na Kọmishọna nke Ikpe, Dr. Uju Nwogu jara onyeisi ike n'ihi nkwado ya n'ịhụ na emume ahụ gara nke ọma
Okwuosa lamented that field workers were usually attacked and injured during enforcement, especially at Nise, Okpuno and Umuawulu, stressing that as their worst challenge. ||| Okwuosa kwara arịrị na ndị ọrụ iro bụ ndị na-enweta mwakpo oge niile ma na-enweta mmerụ ahụ n'oge ịrụ ọrụ ha, tụmadị na Nise, Okpuno na Ụmụawụlụ, kwusie nke a ike dịka ihe ịma aka n'ihu kacha njọ
PRIMARY HEALTHCARE AGENCY ANNOUNCES 2020 FIRST ROUND NIPDS By Nnedinma C Okeke ||| ỤLỌỌRỤ AHỤIKE NTA EKWUPỤTALA AGBA NKE MBỤ NKE NIPDS NKE AFỌ 2020 site n'aka Nnedinma C. Okeke
He added that development control would entail site visits to ensure that work would be going on as approved. ||| O kwukwara na ndị nhazi mmepe ga- ahụ maka njem nleta ebe ana arụ ọrụ iji hụ na ọrụ na-aga dịka etu esiri nye ntuziaka.
Consultants in the building industry are expected to append their seal in drawings in other to take liability for any default in the building ||| ndị ọkachamara n'ụlọọrụ nrụpụta bụ ndị agwara ka ha tinye akara njirimara n'ihe eserese iji nwe azịza n'ihe mmebi ọbụla mere n'ụlọ ahụ
Okwuosa, then, explained that ACTDA would look at buildings and development control, adding that building control involves paper work where the developer is expected to bring survey plans, evidence of ownership and power of attorney. ||| Okwuosa mechara kọwaa na ACTDA ga-elebere ụlọ na nhazi mmepe, tinyekwara na mgbazi arụrarụ gunyere ọrụ akwụkwọ ebe ọ na-ewube ya ga-eweta usoro nlele, ngosi akaebe nke onwunwe na ike nke ọkaikpe.
6, 2020 (MOI) Anambra State Primary Healthcare Development Agency (ASPHCDA) in collaboration with partner agencies have announced 2020 first round of National Immunisation Plus Days (NIPDs) in the state. ||| isii, 2020 (MOI) Ndị otu Mwube Ahụike Nta nke steeti Anambra 'Anambra State Primary Healthcare Development Agency (ASPHCDA)' n'ijikọ aka ndị ọrụ ọzọ amaala ọkwa agba nke mbụ n'afọ 2020 maka ụbọchị ịgba ọgwụ mgbochi 'National Immunization Plus Days (NIPDs) na steeti a. 
Executive Secretary, ASPHCDA, Dr Chioma Ezenyimulu made the announcement during the State Social Mobilisation Committee (SSMC) meeting at ASPHCDA office complex, Awka. ||| Nnukwu ode akwụkwọ, ASPHCDA, Dr Chioma Ezenyimulu mara ọkwa a n'oge nzukọ State Social Mobilisation Committee (SSMC) nke emere n'ụlọọrụ ASPHCDA dị n'Ọka.
She noted that the event which was always held between March and April in past years would now hold ||| o kwuru na emume ahụ bụ nke ana-emerị n'etiti ọnwa Maachị na Epụrel n'afọ gara aga gana adịzi
Availability of aerial photography has helped in identifying areas that will house high density, medium and low density as well as industrial areas,’’ he said. ||| ọdịdị nke onyoonyo ikuku enyela aka ịchọpụta ebe ndị nwere ike ibu nnukwu ụlọ, nke etiti na nke obere ma gunyekwa ebe mmepụta, ka o kwuru
The flag-off ceremony of NIPDs will be held jointly with that of Maternal, Newborn and Child Health Week (MNCHW) on Feb. ||| Mmemme mmalite nke NIPDs bụ nke aga emekọ ya na ndị dị ime, ụmụ ọhụrụ na izuụka ahụike ụmụaka 'Maternal, Newborn and Child Health Week (MNCHW)' n'ọnwa Febụwarị 
11, at Primary Healthcare Centre (PHC), Akpo, Aguata Local Government Area (LGA). ||| n'Ụlọ ahụike nke Nta, dị n'Akpo, okpuru ọchịchị nke Agụata
Master plan supersedes structural plan because it later takes cognizance of structural, aesthetic and development aspects of any building with a view for future intent. ||| Usoro ụlọ nke ọkaibe ka mma karịa usoro arụrarụ n'ihi na ọ mechara nwee arụrarụ, ịchọ mma na usoro mmepe nke ụlọ ọbụla site n'ebumnobi nke ọdịniihu
Dr Ezenyimulu said the 4-day programme would hold in all PHCs, designated General, Teaching, Mission and private hospitals and schools. ||| Dr. Ezenyimulu kwuru na emume ụbọchị anọ ahụ bụ nke aga eme na PHC niile, nke ọhanaeze, nke nkuzi, nke oziọma na ụlọ ọgwụ ndị mmadụ nwe na ụlọ akwụkwọ
Also house to house, that includes Churches, mosques, markets, village square, motor parks and wherever children are found. ||| site n'ụlọ rue n'ụlọ, nke gunyere ụlọ ụka, ụlọ alakụba, ụlọ ahịa, eme ọgbakọ ime obodo, ọdụ ụgbọala na ebe ọbụla enwere ịhụ ụmụaka
During this period children from zero to 59 months of age will be vaccinated with Oral Polio Vaccine (OPV), irrespective of previous immunisation status,‘’ she said. ||| N'oge a, ụmụaka dị site n'afọ efu rue ọnwa iri ise na iteghete bụ ndị aga agba ọgwụ Oral Polio Vaccine (OPV), agbanyeghị ọgwụ nke agbarala ha, ka o kwuru 
State Health Educator, ASPHCDA, Mrs Uju Onwuegbuzina said that the SSMC was established to aid the resolution of issues that might arise in the course of the campaigns such as non compliance or rejections. ||| Onye nkuzi Ahụike nke Steeti, ASPHCDA, Odoziakụ Uju Onwuegbuzina kwuru na SSMC bụ nke eguzobere iji nye aka gbosaa nsogbu ọbụla nwere ike ịpụta na mgbasa ozi ahụ dịka anabataghị ma ọbụ njụ.
We are urged to use our various organisations/platforms to inform people on the need and importance of immunisation as it is a safe and effective means in protecting our children from vaccine preventable diseases. ||| e mere ka anyị were ọtụtụ otu/ogogo zie ndị mmadụ mkpa ọ dị ịgba ọgwụ mgbochi ebe ọ bụ ụzọ dị mma iji nye ụmụaka mgbochi nye ọrịa ndị ịgba ọgwụ pụrụ igbochi
He said that plans were on ground to demarcate Anambra into three development zones while ACTDA would be in charge of Anambra Central to ensure rapid development in all the areas. ||| o kwuru na atụmatụ ahụ dị nke isi ya bụ ikewa Anambra n'ibe zoonu atọ ebe ACTDA gana elekọta Etiti Anambra iji hụ na mmepe zuru oke dị n'ebe ahụ
UNICEF Communication for Development (C4D) Consultant, Mr Felix Okocha commended members of SSMC for their efforts in communicating activities of the agency to ensure that Ndi Anambra would be healthy. ||| Ọkachamara nke UNICEF Mgbasa ozi maka Mmepe  'Communication for Development' (C4D) , Maazị Felix Okocha toro ndị otu SSMC n'ihi mbọ ha ịgbasa ozi maka emume ndị ụlọ ọrụ ahụ iji hụ na ndị Anambra na-enwe ahụ ike 
I praise you all for what you are doing so far and will appeal that you continue to provide this support so that the objectives of the agency will be achieved. ||| E toro m unu niile banyere ihe unu na-eme kamgbe ma na-arịọ ka unu gaa n'ihu iweta nkwado a ka ebumnobi ndị ụlọ ọrụ a bịa na mmezu
Managing Director, ACTDA, Ven. Amaechi Okwuosa said that the Authority, under the office of the governor was charged with the responsibility of preparing master plan of Awka, turning the capital into Dubai or Taiwan. ||| Onye Mgbazi, ACTDA, Ven. Amaechi Okwuosa kwuru na ndị isi, n'okpuru ọchịchị gọvanọ bụ ndị nke enyere ikike iwepụta usoro ukwu nke Ọka, igbanwe isi obodo ka ọ bụrụ Dubai ma ọbụ Taiwan
I understand if the salary, three flat rooms and SUV are enough for you and as a result, cause a lack of purpose for the land where you were born ||| Aghọtara m ma ọ bụrụ na ụgwọ ọnwa, ọnụ ụlọ flaatị atọ na SUV zuuru gị ma n'ihi nkea, kpatara enweghị ebumnobi nye ala ebe amụrụ gị 
I too have a passion for Nigeria and include other citizens like Omoyele Sowore, who have experienced despair and abandonment ||| Mụ onwe m nwere ebumnobi nye Naịjirịa na gunye ndị amaala ọzọ dịka Omoyele Sowore, ndị nke nwerela nkoropụ na mgbahapụ
Seeking a revolt without a gun or going to overthrow a government is not and will not be illegal ||| Ịchọ ntụgharị n'ebughị egbe ma ọbụ ije ịnapụ gọọmentị ọchịchị n'ike abụghị ma agaghị abụ ịda iwu
It is not a crime to stand up for one's conscience by seeking change ||| Iguzo mwuli akọnauche nke ndị mmadụ site n'ịchọ mgbanwe abụghị ịda iwu
It is this that has led to democracy as a system of government which is defined as "government of the people, by the people and given to the people". ||| Ọ bụ nkea mere ka ọchịchị onye kwuo uche ya dịka usoro gọọmentị bụ nke a kọwara dịka "gọọmentị nke ndị mmadụ, site na ndị mmadụ ma nyere ndị mmadụ" Ma ọbụghị gọọmentị nke aka ike, site n'onye aka ike ma nyere ndị ohu
If protesting and calling #Regurrence is now illegal, the courts should convict Omoyele Sowore of holding him for more than 120 days ||| Ọ bụrụ na ngagharị iwe na ịkpọ ngagharị iwe #Njegharị ugbua bụ ịda iwu, ndị ụlọikpe kwesirila ịma Omoyele Sowore ikpe ka ha jidesiri ya ihe karịrị abalị otu narị na iri abụọ
So, knowing that your silence or your involvement in civil society in the face of opposition, crime and social ills does not make you a good person ||| ya mere, mara na nkịtị ị gbara ma ọbụ iwezụga onwe gị na nsogbu obodo n'ihe banyere mmegide, mpụ na elezighị ọhanaeze nke ọma emeghị ka ị buru ezigbo mmadụ
You have no vision and you are only self-aware ||| I nweghị ezi ọhụhụ ụzọ ma bụrụkwa onye ma maka naanị onwe ya
You see, I am writing this post because someone told me to shut up on Sowore talk and focus on my business on whatsapp, and I laughed ||| Ị hụla, ana m ede ihe ederede a maka na mmadụ gwara m ka wepụ ọnụ n'okwu Sowore ma gbado anya n'azụmahịa m na whatsapp, m wee chịa ọchị
He is going to read this article, so I will not mention his name where the viewer does not agree with my beliefs. ||| Ọ gana agụ ihe ederede a, ya mere m agaghị kpọ aha ya ebe uche ọhụhụ ụzọ adabaghị adaba na nkwenye nke m
For you, the reader, know that the purpose of this statement when you are told "your mind is on your business" is not just to sell your product ||| Maka gị, onye na-agụ ugbua, mara na ebumnobi ihe banyere ekwumekwu a mgbe a gwara gị "uche gị dị n'azụmahịa gị" abụghị naanị ka i ree ngwaahịa gị
